Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA
2025-05-01,213.32000732421875,425.3999938964844,111.61000061035156,214.55999755859375,436.989990234375,114.94000244140625,208.89999389648438,424.8999938964844,111.30000305175781,209.0800018310547,431.1099853515625,113.08000183105469,57365700,58938100,236121500
2025-05-02,205.35000610351562,435.2799987792969,114.5,206.99000549316406,439.44000244140625,115.4000015258789,202.16000366210938,429.989990234375,113.37000274658203,206.08999633789062,431.739990234375,114.18000030517578,101010600,30757400,190194800
2025-05-05,198.88999938964844,436.1700134277344,113.81999969482422,204.10000610351562,439.5,114.66999816894531,198.2100067138672,432.1099853515625,112.66000366210938,203.10000610351562,432.8699951171875,112.91000366210938,69018500,20136100,133163200
2025-05-06,198.50999450683594,433.30999755859375,113.54000091552734,200.64999389648438,437.7300109863281,114.73999786376953,197.02000427246094,431.1700134277344,110.81999969482422,198.2100067138672,432.20001220703125,111.4800033569336,51216500,15104200,158525600
2025-05-07,196.25,433.3500061035156,117.05999755859375,199.44000244140625,438.1199951171875,117.68000030517578,193.25,431.1099853515625,112.27999877929688,199.1699981689453,433.8399963378906,113.05000305175781,68536700,23295300,207827800
2025-05-08,197.49000549316406,438.1700134277344,117.37000274658203,200.0500030517578,443.6700134277344,118.68000030517578,194.67999267578125,435.6600036621094,115.8499984741211,197.72000122070312,437.92999267578125,118.25,50478900,23491300,198428100
2025-05-09,198.52999877929688,438.7300109863281,116.6500015258789,200.5399932861328,440.739990234375,118.2300033569336,197.5399932861328,435.8800048828125,115.20999908447266,199.0,440.0,117.3499984741211,36415700,15313100,132684400
